Name,Description
Albert Einstein,"Developed the theory of relativity, revolutionizing physics."
Marie Curie,"Pioneered research on radioactivity, becoming the first woman to win a Nobel Prize."
Isaac Newton,Formulated the laws of motion and universal gravitation.
Galileo Galilei,Played a key role in the scientific revolution and improved the telescope.
Charles Darwin,Proposed the theory of evolution by natural selection.
Nelson Mandela,Fought against apartheid in South Africa and became its first black president.
Mahatma Gandhi,Led the Indian independence movement through nonviolent civil disobedience.
Leonardo da Vinci,"Renaissance polymath known for contributions to art, science, and engineering."
Cleopatra,"Last active ruler of the Ptolemaic Kingdom of Egypt, known for her intelligence and political acumen."
Winston Churchill,"British Prime Minister during World War II, known for his leadership and speeches."
Martin Luther King Jr.,Civil rights leader known for his role in advancing civil rights using nonviolent civil disobedience.
Ada Lovelace,Considered the first computer programmer for her work on Charles Babbage's early mechanical general-purpose computer.
Stephen Hawking,Renowned theoretical physicist known for his work on black holes and cosmology.
Alexander the Great,Conqueror who created one of the largest empires in ancient history.
Julius Caesar,"Roman general and statesman, pivotal in the events that led to the rise of the Roman Empire."
Florence Nightingale,Founder of modern nursing and a pioneer in healthcare reform.
Thomas Edison,Inventor known for the phonograph and the electric light bulb.
Rosalind Franklin,Key figure in the discovery of the structure of DNA.
Malala Yousafzai,Youngest Nobel Prize laureate for her activism in education rights.
Nikola Tesla,Inventor and electrical engineer known for his contributions to the development of alternating current (AC).
Sigmund Freud,"Founder of psychoanalysis, known for his theories on the unconscious mind."
Rosa Parks,Civil rights activist whose refusal to give up her bus seat sparked the Montgomery Bus Boycott.
Albert Schweitzer,Philosopher and physician known for his humanitarian work and philosophy of 'reverence for life.'
Marie Antoinette,"Last queen of France before the French Revolution, symbolizing royal excess."
George Washington,First President of the United States and a Founding Father.
Emmeline Pankhurst,"Leader of the British suffragette movement, advocating for women's right to vote."
Thomas Jefferson,Principal author of the Declaration of Independence and third U.S. President.
Catherine the Great,Empress of Russia who expanded the empire and promoted the arts and education.
Buddha,"Founder of Buddhism, teaching the path to enlightenment and compassion."
Confucius,"Philosopher whose teachings emphasized ethics, morality, and social harmony."
Socrates,Classical Greek philosopher known for his contributions to ethics and epistemology.
Plato,Student of Socrates and author of works on philosophy and political theory.
Friedrich Nietzsche,Philosopher known for his critiques of traditional morality and religion.
Jane Goodall,Primatologist and anthropologist known for her studies of chimpanzees.
Wangari Maathai,Kenyan environmental activist and Nobel Peace Prize winner for her work in sustainable development.
Stephen Jay Gould,Paleontologist and evolutionary biologist known for his work on the theory of punctuated equilibrium.
Charles Babbage,Mathematician and inventor known as the 'father of the computer.'
Bill Gates,Co-founder of Microsoft and philanthropist focused on global health and education.
Steve Jobs,Co-founder of Apple Inc. and a key figure in personal computing and technology innovation.
Angela Merkel,German politician who served as Chancellor and was a key figure in European politics.
Marie Kondo,Japanese organizing consultant and author known for her KonMari method of decluttering.
Amelia Earhart,"First female aviator to fly solo across the Atlantic Ocean, a pioneer in aviation."
Frida Kahlo,Mexican painter known for her surrealist self-portraits and activism.
Harriet Tubman,Abolitionist and political activist who helped enslaved people escape to freedom.
Neil Armstrong,First person to walk on the moon during the Apollo 11 mission.
Oprah Winfrey,"Media mogul, talk show host, and philanthropist known for her empowering influence."
Malcom X,"African-American leader in the civil rights movement, known for his advocacy of black empowerment."
Genghis Khan,"Founder of the Mongol Empire, one of the largest contiguous land empires in history."
Mao Zedong,Founding chairman of the Communist Party of China and leader of the Chinese Revolution.
Fidel Castro,Cuban revolutionary and politician who led the Cuban Revolution and served as Prime Minister.
Simone de Beauvoir,French existentialist philosopher and author known for her works on feminism.
Simone Biles,American gymnast who won a record-breaking seven Olympic medals.
Serena Williams,Professional tennis player known for her dominance in the sport and advocacy for equality.
Muhammed Ali,Professional boxer and activist known for his social and political activism.
Marilyn Monroe,"American actress, model, and singer who became a cultural icon of the 1950s."
Elvis Presley,American singer and actor who became a cultural icon and influenced many musical genres.
Michael Jackson,"American singer, songwriter, and dancer who is considered one of the most influential entertainers of all time."
Princess Diana,British royal and humanitarian known for her charitable work and fashion influence.
Audrey Hepburn,Belgian-born American actress and humanitarian known for her elegance and style.
Coco Chanel,French fashion designer who popularized the use of jersey fabric and created the Chanel suit.
Galileo Galilei,Italian astronomer and physicist who made significant contributions to the scientific revolution.
Marie Curie,Polish physicist and chemist who conducted pioneering research on radioactivity.
Albert Einstein,German-born theoretical physicist who developed the theory of relativity.
Charles Darwin,English naturalist who proposed the theory of evolution by natural selection.
Isaac Newton,"English mathematician, astronomer, and physicist who developed the laws of motion and universal gravitation."
Aristotle,Greek philosopher who made influential contributions to various branches of science.
Plato,Greek philosopher and student of Socrates who founded the first institution of higher learning in the Western world.
Socrates,Greek philosopher known as one of the founders of Western philosophy.
Confucius,"Chinese philosopher and teacher whose teachings emphasized ethics, morality, and social harmony."
Buddha,Indian spiritual teacher and founder of Buddhism who taught the path to enlightenment.
Jesus Christ,"Central figure of Christianity, whose life and teachings form the basis of the religion."
Muhammad,Arab religious and political leader who founded Islam and is considered the final prophet in a series of prophets.
Martin Luther,German professor of theology who initiated the Protestant Reformation.
Galileo Galilei,Italian astronomer and physicist who made significant contributions to the scientific revolution.
Leonardo da Vinci,"Italian polymath who made contributions to art, science, and engineering during the Renaissance."
William Shakespeare,English poet and playwright considered one of the greatest writers in the English language.
Ludwig van Beethoven,German composer and pianist who composed some of the most influential works in classical music.
Vincent van Gogh,Dutch post-impressionist painter known for his unique style and influential works.
Pablo Picasso,Spanish painter and sculptor who co-founded the Cubist movement and is considered one of the most influential artists of the 20th century.
Nelson Mandela,South African anti-apartheid activist and politician who served as President of South Africa.
John Locke,English philosopher who laid the groundwork for modern democratic theory and liberalism.
Thomas Hobbes,English philosopher known for his social contract theory and views on human nature.
Voltaire,French Enlightenment writer known for his advocacy of civil liberties and separation of church and state.
Jean-Jacques Rousseau,Genevan philosopher whose ideas on democracy and education influenced modern political thought.
Mary Wollstonecraft,Early advocate for women's rights and author of 'A Vindication of the Rights of Woman.'
Frederick Douglass,Abolitionist and social reformer who escaped slavery and became a prominent activist.
Susan B. Anthony,Leader in the women's suffrage movement in the United States.
Ruth Bader Ginsburg,Associate Justice of the U.S. Supreme Court known for her work on gender equality and civil rights.
Barack Obama,44th President of the United States and the first African American to hold the office.
Franklin D. Roosevelt,32nd President of the United States who led the country during the Great Depression and World War II.
Margaret Thatcher,"First female Prime Minister of the United Kingdom, known for her strong conservative policies."
Angela Merkel,Chancellor of Germany who played a key role in European politics and economic stability.
Indira Gandhi,"First and only female Prime Minister of India, known for her central role in Indian politics."
Golda Meir,"First and only female Prime Minister of Israel, known for her leadership during the Yom Kippur War."
Cesar Chavez,Labor leader and civil rights activist who fought for the rights of farmworkers.
Nelson Mandela,Anti-apartheid revolutionary and political leader who became South Africa's first black president.
Desmond Tutu,South African Anglican bishop and social rights activist known for his work against apartheid.
Aung San Suu Kyi,Burmese politician and Nobel laureate known for her pro-democracy efforts.
Vladimir Lenin,Leader of the Bolshevik Party and key figure in the Russian Revolution.
Winston Churchill,British Prime Minister known for his leadership during World War II.
